algo,total_bits,frac_bits,angle_idx,sin,cos,sin_ref,cos_ref,sin_err,cos_err,ticks
CORDIC,32,30,0,2,1073741829,0,1073741824,2,5,14714
TAYLOR,32,30,0,0,1073741824,0,1073741824,0,0,8337
MINIMAX,32,30,0,0,1073741824,0,1073741824,0,0,6577
CORDIC,32,30,1,277904829,1037154962,277904834,1037154959,5,3,14722
TAYLOR,32,30,1,277904833,1037154958,277904834,1037154959,1,1,8346
MINIMAX,32,30,1,277904833,1037154958,277904834,1037154959,1,1,6584
CORDIC,32,30,2,536870913,929887701,536870912,929887697,1,4,14713
TAYLOR,32,30,2,536870911,929887696,536870912,929887697,1,1,8345
MINIMAX,32,30,2,536870911,929887696,536870912,929887697,1,1,6583
CORDIC,32,30,3,759250128,759250121,759250125,759250125,3,4,14719
TAYLOR,32,30,3,759250124,759250124,759250125,759250125,1,1,8344
MINIMAX,32,30,3,759250125,759250124,759250125,759250125,0,1,6581
CORDIC,32,30,4,929887701,536870913,929887697,536870912,4,1,14720
TAYLOR,32,30,4,929887696,536870911,929887697,536870912,1,1,8368
MINIMAX,32,30,4,929887696,536870911,929887697,536870912,1,1,6605
CORDIC,32,30,5,1037154962,277904829,1037154959,277904834,3,5,14711
TAYLOR,32,30,5,1037154958,277904833,1037154959,277904834,1,1,8367
MINIMAX,32,30,5,1037154958,277904833,1037154959,277904834,1,1,6605
CORDIC,32,30,6,1073741829,2,1073741824,0,5,2,14719
TAYLOR,32,30,6,1073741824,0,1073741824,0,0,0,8358
MINIMAX,32,30,6,1073741824,0,1073741824,0,0,0,6599
