algo,total_bits,frac_bits,angle_idx,sin,cos,sin_ref,cos_ref,sin_err,cos_err,ticks
CORDIC,8,6,0,4,64,0,64,4,0,40914
TAYLOR,8,6,0,0,64,0,64,0,0,28014
MINIMAX,8,6,0,0,64,0,64,0,0,20014
CORDIC,8,6,1,17,63,17,62,0,1,41014
TAYLOR,8,6,1,16,62,17,62,1,0,28014
MINIMAX,8,6,1,16,62,17,62,1,0,20014
CORDIC,8,6,2,32,56,32,55,0,1,41014
TAYLOR,8,6,2,31,55,32,55,1,0,28014
MINIMAX,8,6,2,32,55,32,55,0,0,20014
CORDIC,8,6,3,46,44,45,45,1,1,40814
TAYLOR,8,6,3,44,45,45,45,1,0,28014
MINIMAX,8,6,3,44,45,45,45,1,0,20014
CORDIC,8,6,4,56,32,55,32,1,0,40914
TAYLOR,8,6,4,55,31,55,32,0,1,28514
MINIMAX,8,6,4,55,32,55,32,0,0,20514
CORDIC,8,6,5,63,15,62,17,1,2,41014
TAYLOR,8,6,5,62,16,62,17,0,1,28514
MINIMAX,8,6,5,62,16,62,17,0,1,20514
CORDIC,8,6,6,64,0,64,0,0,0,41114
TAYLOR,8,6,6,64,0,64,0,0,0,28514
MINIMAX,8,6,6,64,0,64,0,0,0,20514
